DateTime,kVA,Min Temp,Max Temp,rainfall,Temp,week-1,week-2
4/21/2017 0:00,1078,13,29.6,0,18,770,968
4/21/2017 1:00,1012,13,29.6,0,18,726,798.5897128
4/21/2017 2:00,836,13,29.6,0,15,704,682
4/21/2017 3:00,836,13,29.6,0,15,704,682
4/21/2017 4:00,836,13,29.6,0,11,748,682
4/21/2017 5:00,858,13,29.6,0,11,814,748
4/21/2017 6:00,1056,13,29.6,0,15,1144,946
4/21/2017 6:30,1386,13,29.6,0,17,1232,1144
4/21/2017 7:00,1474,13,29.6,0,19,1364,1298
4/21/2017 7:30,1760,13,29.6,0,21,1452,1452
4/21/2017 8:00,1870,13,29.6,0,19.5,1474,1672
4/21/2017 8:30,1980,13,29.6,0,18,1562,1826
4/21/2017 9:00,1914,13,29.6,0,21.5,1606,1826
4/21/2017 9:30,1826,13,29.6,0,25,1606,1694
4/21/2017 10:00,1848,13,29.6,0,22.5,1606,1760
4/21/2017 11:00,1870,13,29.6,0,20,1430,1738
4/21/2017 12:00,1826,13,29.6,0,21,1342,1672
4/21/2017 13:00,1760,13,29.6,0,22,1232,1584
4/21/2017 14:00,1694,13,29.6,0,22,1188,1452
4/21/2017 15:00,1628,13,29.6,0,27,1210,1408
4/21/2017 16:00,1694,13,29.6,0,26,1276,1496
4/21/2017 17:00,1782,13,29.6,0,27,1232,1540
4/21/2017 17:30,1738,13,29.6,0,24,1254,1606
4/21/2017 18:00,1760,13,29.6,0,23.5,1364,1540
4/21/2017 18:30,1826,13,29.6,0,23,1650,1606
4/21/2017 19:00,1958,13,29.6,0,21.5,1958,1804
4/21/2017 19:30,2266,13,29.6,0,20,2024,2002
4/21/2017 20:00,2376,13,29.6,0,20,1958,2156
4/21/2017 20:30,2486,13,29.6,0,20,1892,2090
4/21/2017 21:00,2332,13,29.6,0,20,1760,2024
4/21/2017 22:00,2002,13,29.6,0,20,1320,1848
4/21/2017 23:00,1760,13,29.6,0,20,924,1452
4/22/2017 0:00,1320,13.8,29.9,0,16,880,836
4/22/2017 1:00,880,13.8,29.9,0,17,748,715
4/22/2017 2:00,946,13.8,29.9,0,16,748,814
4/22/2017 3:00,946,13.8,29.9,0,15,748,814
4/22/2017 4:00,946,13.8,29.9,0,15,726,814
4/22/2017 5:00,968,13.8,29.9,0,14,154,836
4/22/2017 6:00,1012,13.8,29.9,0,16,1287.913069,836
4/22/2017 6:30,1320,13.8,29.9,0,17,1287.913069,1078
4/22/2017 7:00,1430,13.8,29.9,0,17.5,1640.22542,1232
4/22/2017 7:30,1640.22542,13.8,29.9,0,18,1640.22542,1364
4/22/2017 8:00,2200,13.8,29.9,0,19,1823.775585,1496
4/22/2017 8:30,1914,13.8,29.9,0,20,2112,1606
4/22/2017 9:00,1914,13.8,29.9,0,23.5,1914,1694
4/22/2017 9:30,1980,13.8,29.9,0,27,1925,1797.012792
4/22/2017 10:00,2002,13.8,29.9,0,23.5,2068,1870
4/22/2017 11:00,1936,13.8,29.9,0,20,1694,1804
4/22/2017 12:00,1782,13.8,29.9,0,21,2574,1628
4/22/2017 13:00,1672,13.8,29.9,0,26,1276,1452
4/22/2017 14:00,1584,13.8,29.9,0,26,1210,1386
4/22/2017 15:00,1562,13.8,29.9,0,28,654.5,1320
4/22/2017 16:00,1452,13.8,29.9,0,28,1870,1364
4/22/2017 17:00,1562,13.8,29.9,0,27,1452,1320
4/22/2017 17:30,1628,13.8,29.9,0,24,1430,1364
4/22/2017 18:00,1650,13.8,29.9,0,22,1650,1320
4/22/2017 18:30,1980,13.8,29.9,0,20,1892,1342
4/22/2017 19:00,2134,13.8,29.9,0,20,2046,1540
4/22/2017 19:30,2200,13.8,29.9,0,20,1914,1980
4/22/2017 20:00,2178,13.8,29.9,0,18.5,2068,2200
4/22/2017 20:30,2090,13.8,29.9,0,17,1936,2090
4/22/2017 21:00,1980,13.8,29.9,0,17,1760,1782
4/22/2017 22:00,1804,13.8,29.9,0,17,1342,1364
4/22/2017 23:00,1364,13.8,29.9,0,19,1100,968
4/23/2017 0:00,902,11.5,27.4,16.6,18,792,770
4/23/2017 1:00,880,11.5,27.4,16.6,19,616,924
