datetime,DEMAND,week_X-2,week_X-3,week_X-4,MA_X-4,dayOfWeek,weekend,holiday,Holiday_ID,hourOfDay,T2M_toc
1/31/2015 1:00,954.2018,962.2865,906.958,970.345,938.00485,1,1,0,0,1,25.30849609
1/31/2015 2:00,913.866,933.3221,863.5135,912.1755,900.284075,1,1,0,0,2,25.14144287
1/31/2015 3:00,903.3637,903.9817,848.4447,900.2688,881.704325,1,1,0,0,3,25.00673828
1/31/2015 4:00,889.0806,900.9995,839.8821,889.9538,876.458825,1,1,0,0,4,24.89971313
1/31/2015 5:00,910.1472,904.3481,847.1073,893.6865,879.190775,1,1,0,0,5,24.82155762
1/31/2015 6:00,922.1737,912.508,848.4718,879.2323,877.027925,1,1,0,0,6,24.83019409
1/31/2015 7:00,939.9442,927.5976,897.8229,932.4876,920.381925,1,1,0,0,7,25.79995117
1/31/2015 8:00,1077.8575,1075.3486,1021.672,1048.972,1057.194625,1,1,0,0,8,26.98031006
1/31/2015 9:00,1179.6601,1116.6425,1108.9439,1167.9074,1138.17875,1,1,0,0,9,28.03182373
1/31/2015 10:00,1255.1569,1121.9048,1165.4756,1257.5069,1189.291375,1,1,0,0,10,28.90606079
1/31/2015 11:00,1253.4414,1149.28,1179.063,1254.583,1202.799725,1,1,0,0,11,29.55516968
1/31/2015 12:00,1223.6116,1124.3282,1173.0899,1216.9004,1176.489125,1,1,0,0,12,30.03652344
1/31/2015 13:00,1160.2838,1100.5307,1161.4116,1202.1556,1153.509625,1,1,0,0,13,30.26552734
1/31/2015 14:00,1124.8878,1081.4347,1133.3133,1197.2616,1138.098025,1,1,0,0,14,30.21114502
1/31/2015 15:00,1112.4189,1065.0331,1100.6097,1169.0034,1124.01035,1,1,0,0,15,29.73275146
1/31/2015 16:00,1081.7406,1056.8685,1082.6875,1136.7054,1061.039175,1,1,0,0,16,28.98827515
1/31/2015 17:00,1064.8583,1053.7863,1051.4135,1101.9447,929.245075,1,1,0,0,17,27.99349365
1/31/2015 18:00,1095.5704,1046.294,1088.8689,1107.0406,1057.654125,1,1,0,0,18,27.021875
1/31/2015 19:00,1116.6654,1063.8643,1144.2722,1142.1548,1107.91455,1,1,0,0,19,26.52001343
1/31/2015 20:00,1094.677,1054.0308,1102.2466,1097.2334,1072.61775,1,1,0,0,20,26.24984131
1/31/2015 21:00,1075.2083,1026.6331,1064.151,1074.6544,1044.4172,1,1,0,0,21,26.01879272
1/31/2015 22:00,1041.0831,982.6391,1030.4566,1041.3244,1012.04365,1,1,0,0,22,25.8795105
1/31/2015 23:00,988.5723,928.4173,979.5945,999.634,958.003575,1,1,0,0,23,25.74007568
2/1/2015 0:00,939.5286,891.4272,956.5766,968.0526,929.791225,2,1,0,0,0,25.59490356
